elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
158034,lying,0,0,75.0,2002.5,9.3,1.01,2025.9
158433,lying,0,0,75.0,2002.2,8.3,1.01,2021.3
158832,lying,0,0,75.0,2002.9,8.0,1.01,2021.3
159232,lying,0,0,75.0,2002.7,6.9,1.01,2019.0
159632,lying,0,0,75.0,2003.0,7.3,1.01,2019.0
160032,lying,0,0,75.0,2003.1,7.0,1.01,2019.0
160432,lying,0,0,75.0,2003.3,7.1,1.01,2015.8
160849,lying,0,0,75.0,2003.5,7.5,1.01,2021.0
161231,lying,0,0,75.0,2003.3,7.5,1.01,2021.0
161631,lying,0,0,75.0,2003.0,7.6,1.01,2021.0
162031,lying,0,0,75.0,2003.1,8.1,1.01,2021.0
162431,lying,0,0,75.0,2003.7,8.5,1.01,2021.0
162830,lying,0,0,75.0,2003.6,8.2,1.01,2021.0
163230,lying,0,0,75.0,2003.1,7.5,1.01,2018.5
163630,lying,0,0,75.0,2003.4,8.2,1.01,2025.0
164030,lying,0,0,75.0,2003.9,8.3,1.01,2025.0
164430,lying,0,0,75.0,2004.3,8.3,1.01,2025.0
164829,lying,0,0,75.0,2004.0,8.3,1.01,2025.0
165229,lying,0,0,75.0,2003.6,9.2,1.01,2025.0
165629,lying,0,0,75.0,2004.1,9.6,1.01,2025.0
166029,lying,0,0,75.0,2003.3,9.3,1.01,2021.0
166429,lying,0,0,75.0,2002.7,9.2,1.01,2021.0
166828,lying,0,0,75.0,2001.8,8.3,1.01,2019.4
167229,lying,0,0,75.0,2001.5,8.5,1.01,2019.9
167628,lying,0,0,75.0,2002.3,8.6,1.01,2023.7
168028,lying,0,0,75.0,2001.3,9.2,1.01,2025.3
168437,lying,0,0,75.0,2001.4,9.9,1.01,2025.3
168837,lying,0,0,75.0,2001.8,9.9,1.01,2025.3
169237,lying,0,0,75.0,2002.5,10.2,1.01,2025.3
169637,lying,0,0,75.0,2002.9,9.4,1.01,2025.3
170037,lying,0,0,75.0,2001.8,9.0,1.01,2025.3
170436,lying,0,0,75.0,2002.2,8.2,1.01,2018.2
170836,lying,0,0,75.0,2002.0,8.0,1.01,2018.2
171236,lying,0,0,75.0,2002.4,8.3,1.01,2018.2
171636,lying,0,0,75.0,2002.0,8.5,1.01,2016.1
172036,lying,0,0,75.0,2001.5,8.4,1.01,2015.2
172435,lying,0,0,75.0,2001.7,8.0,1.01,2015.2
172835,lying,0,0,75.0,2001.5,8.3,1.01,2015.2
173235,lying,0,0,75.0,2001.3,8.2,1.01,2018.9
173635,lying,0,0,75.0,2001.6,9.2,1.02,2032.1
174034,lying,0,0,75.0,2001.5,8.7,1.02,2032.1
174434,lying,0,0,75.0,2001.9,8.5,1.02,2032.1
174834,lying,0,0,75.0,2001.7,8.5,1.02,2032.1
175234,lying,0,0,75.0,2002.1,8.4,1.01,2032.1
175634,lying,0,0,75.0,2001.7,7.7,1.02,2032.1
176033,lying,0,0,75.0,2000.7,7.0,1.01,2019.7
176434,lying,0,0,75.0,2001.3,7.2,1.01,2019.7
176833,lying,0,0,75.0,1999.6,8.0,1.01,2019.7
177233,lying,0,0,75.0,2000.6,8.4,1.01,2019.7
177633,lying,0,0,75.0,2001.1,8.5,1.01,2019.7
178032,lying,0,0,75.0,2001.7,8.6,1.01,2019.7
178432,lying,0,0,75.0,2002.2,8.1,1.01,2019.6
178832,lying,0,0,75.0,2001.3,8.5,1.01,2019.6
179232,lying,0,0,75.0,2002.4,7.9,1.01,2019.6
179632,lying,0,0,75.0,2001.7,8.5,1.01,2019.8
180031,lying,0,0,75.0,2000.9,7.9,1.01,2019.8
180431,lying,0,0,75.0,2000.6,7.6,1.01,2019.8
180831,lying,0,0,75.0,2000.8,7.7,1.01,2019.8
181231,lying,0,0,75.0,2001.1,7.7,1.01,2019.8
181630,lying,0,0,75.0,2001.7,8.3,1.01,2019.8
182030,lying,0,0,75.0,2001.7,7.9,1.01,2019.6
182444,lying,0,0,75.0,2001.7,8.1,1.01,2019.6
182830,lying,0,0,75.0,2002.0,8.6,1.01,2019.6
183230,lying,0,0,75.0,2001.4,8.8,1.01,2019.6
183629,lying,0,0,75.0,2001.5,9.9,1.01,2023.3
184029,lying,0,0,75.0,2001.2,9.3,1.01,2023.3
184429,lying,0,0,75.0,2001.9,9.6,1.01,2023.3
184829,lying,0,0,75.0,2002.2,9.4,1.01,2023.3
185229,lying,0,0,75.0,2002.3,9.5,1.01,2023.3
185629,lying,0,0,75.0,2002.4,9.1,1.01,2023.3
186028,lying,0,0,75.0,2002.9,7.7,1.01,2021.3
186428,lying,0,0,75.0,2002.8,8.4,1.01,2021.3
186828,lying,0,0,75.0,2002.6,7.8,1.01,2020.1
187237,lying,0,0,75.0,2003.2,8.3,1.01,2020.1
187637,lying,0,0,75.0,2003.9,8.5,1.01,2025.5
188037,lying,0,0,75.0,2003.9,9.6,1.01,2025.5
188437,lying,0,0,75.0,2003.5,9.5,1.01,2025.5
188837,lying,0,0,75.0,2003.7,9.1,1.01,2025.5
189236,lying,0,0,75.0,2003.6,9.3,1.01,2025.5
189636,lying,0,0,75.0,2003.3,9.9,1.01,2025.5
190036,lying,0,0,75.0,2002.9,9.4,1.01,2023.3
190436,lying,0,0,75.0,2002.2,9.2,1.01,2023.3
190835,lying,0,0,75.0,2002.5,9.4,1.01,2023.3
191235,lying,0,0,75.0,2002.5,9.2,1.01,2023.3
191635,lying,0,0,75.0,2002.2,9.0,1.01,2023.3
192035,lying,0,0,75.0,2001.7,7.8,1.01,2018.1
192435,lying,0,0,75.0,2003.9,13.2,1.02,2051.9
192834,lying,0,0,75.0,1996.1,45.7,1.06,2118.5
193234,lying,0,0,75.0,2000.8,60.3,1.09,2185.3
193634,lying,0,0,75.0,1992.2,80.4,1.13,2251.2
194034,lying,0,0,75.0,1980.2,190.9,1.45,2876.3
194433,lying,0,0,75.0,1981.0,191.0,1.45,2876.3
194834,lying,0,0,75.0,1978.5,190.5,1.45,2876.3
195233,lying,0,0,75.0,1988.0,186.3,1.45,2876.3
195633,lying,0,0,75.0,1983.8,181.8,1.45,2876.3
196033,lying,0,0,75.0,1991.9,174.3,1.44,2876.3
196432,lying,0,0,75.0,2003.7,14.0,1.02,2034.1
196832,lying,0,0,75.0,2004.7,19.3,1.03,2061.7
197232,lying,0,0,75.0,2007.1,20.1,1.03,2061.7
197632,lying,0,0,75.0,2007.2,22.3,1.03,2061.7
198032,lying,0,0,75.0,2006.3,22.6,1.03,2061.7
198431,lying,0,0,75.0,2006.1,22.5,1.03,2061.7
198831,lying,0,0,75.0,2006.0,21.8,1.03,2061.7
199231,lying,0,0,75.0,2004.0,17.3,1.02,2053.8
199631,lying,0,0,75.0,2002.9,16.1,1.02,2047.7
200031,lying,0,0,75.0,2001.9,12.4,1.02,2041.8
200430,lying,0,0,75.0,2001.9,12.1,1.02,2041.8
200830,lying,0,0,75.0,2002.8,10.7,1.02,2041.8
201230,lying,0,0,75.0,2003.2,10.0,1.02,2041.8
201630,lying,0,0,75.0,2003.3,11.5,1.02,2041.8
202029,lying,0,0,75.0,2002.6,8.7,1.01,2030.5
202429,lying,0,0,75.0,2003.9,12.0,1.02,2044.6
202829,lying,0,0,75.0,2036.4,168.3,1.53,3125.1
203229,lying,0,0,75.0,2056.2,172.8,1.52,3125.1
203629,lying,0,0,75.0,2014.7,242.4,1.55,3125.1
204042,lying,0,0,75.0,2029.3,350.3,1.54,3125.1
204428,lying,0,0,75.0,2043.8,383.7,1.53,3125.1
204828,lying,0,0,75.0,2050.9,397.1,1.52,3125.1
205228,lying,0,0,75.0,2020.6,363.9,1.45,2939.4
205628,lying,0,0,75.0,2004.0,374.3,1.47,2939.4
206037,lying,0,0,75.0,2032.6,345.4,1.45,2939.4
206437,lying,0,0,75.0,1971.0,303.0,1.37,2702.9
206837,lying,0,0,75.0,1996.1,280.6,1.23,2458.7
207237,lying,0,0,75.0,1995.2,264.3,1.21,2418.1
207637,lying,0,0,75.0,2080.2,336.3,1.35,2805.2
208036,lying,0,0,75.0,2068.1,337.8,1.36,2805.2
208436,lying,0,0,75.0,2074.1,334.1,1.35,2805.2
208836,lying,0,0,75.0,2138.2,256.2,1.31,2805.2
209236,lying,0,0,75.0,2126.4,262.5,1.32,2805.2
209636,lying,0,0,75.0,2175.8,409.2,1.42,3099.8
210035,lying,0,0,75.0,2054.2,522.2,1.64,3369.3
210435,lying,0,0,75.0,2181.8,643.3,1.64,3567.4
210835,lying,0,0,75.0,2165.0,734.7,1.65,3567.4
211235,lying,0,0,75.0,2164.0,790.8,1.65,3567.4
211635,lying,0,0,75.0,2176.2,837.1,1.64,3567.4
212034,lying,0,0,75.0,2115.1,790.5,1.69,3567.4
212434,lying,0,0,75.0,2163.3,696.8,1.65,3567.4
212834,lying,0,0,75.0,2038.9,577.8,1.5,3051.4
213234,lying,0,0,75.0,2078.5,459.6,1.47,3051.4
213634,sitting,1,0,75.0,2046.8,372.5,1.45,2971.2
214033,sitting,1,0,75.0,2026.1,229.6,1.32,2677.8
214433,sitting,1,0,75.0,2033.8,176.1,1.12,2287.5
214833,sitting,1,0,75.0,2035.3,183.6,1.16,2356.8
215233,sitting,1,0,75.0,2033.4,273.9,1.31,2669.6
215633,sitting,1,0,75.0,2019.3,285.3,1.32,2669.6
216032,sitting,1,0,75.0,2060.3,273.1,1.3,2669.6
216432,sitting,1,0,75.0,2049.3,271.5,1.3,2669.6
216832,sitting,1,0,75.0,2053.3,275.2,1.3,2669.6
217232,sitting,1,0,75.0,2016.4,281.9,1.32,2669.6
217632,sitting,1,0,75.0,2054.4,195.0,1.18,2420.6
218031,sitting,1,0,75.0,2043.6,182.5,1.18,2420.6
218431,sitting,1,0,75.0,2009.0,183.5,1.17,2340.8
218831,sitting,1,0,75.0,2016.2,190.7,1.2,2417.9
219231,sitting,1,0,75.0,1983.8,241.4,1.29,2561.8
219631,sitting,1,0,75.0,2008.2,247.0,1.28,2561.8
220030,sitting,1,0,75.0,2015.9,255.9,1.27,2561.8
220430,sitting,1,0,75.0,2021.1,258.5,1.27,2561.8
220830,sitting,1,0,75.0,2042.7,248.7,1.25,2561.8
221230,sitting,1,0,75.0,2038.0,247.1,1.26,2561.8
221630,sitting,1,0,75.0,2010.8,248.4,1.21,2429.4
222029,sitting,1,0,75.0,2169.7,540.1,1.76,3817.5
222429,sitting,1,0,75.0,2112.3,577.4,1.81,3817.5
222830,sitting,1,0,75.0,2162.8,600.1,1.77,3817.5
223229,sitting,1,0,75.0,2165.8,597.4,1.76,3817.5
223629,sitting,1,0,75.0,2141.1,602.8,1.78,3817.5
224028,sitting,1,0,75.0,2152.9,588.3,1.77,3817.5
224428,sitting,1,0,75.0,2014.6,329.2,1.5,3020.2
224828,sitting,1,0,75.0,2004.1,290.7,1.51,3020.2
225228,sitting,1,0,75.0,2004.3,226.5,1.27,2539.0
225645,sitting,1,0,75.0,1988.0,226.1,1.28,2539.0
226028,sitting,1,0,75.0,2015.6,231.5,1.26,2539.0
226437,sitting,1,0,75.0,2047.9,205.6,1.24,2539.0
226837,sitting,1,0,75.0,2036.3,194.0,1.19,2432.4
227237,sitting,1,0,75.0,2040.2,181.0,1.19,2432.4
227637,sitting,1,0,75.0,2038.0,192.6,1.23,2516.7
228037,sitting,1,0,75.0,2029.1,193.7,1.24,2516.7
228436,sitting,1,0,75.0,2015.5,191.8,1.25,2516.7
228836,sitting,0,0,75.0,2025.7,190.4,1.24,2516.7
229236,sitting,0,0,75.0,2014.6,396.4,1.65,3314.2
229636,sitting,0,0,75.0,2047.0,423.8,1.62,3314.2
230036,sitting,0,0,75.0,2038.8,414.3,1.63,3314.2
230435,sitting,0,0,75.0,2060.2,420.4,1.61,3314.2
230835,sitting,0,0,75.0,2053.6,419.5,1.61,3314.2
