elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,seconds_left
88150,lying,0,0,85.23,1858.6,7.8,1.01,1879.2,1,73
88550,lying,0,0,85.23,1859.4,8.2,1.01,1882.8,1,73
88950,lying,0,0,85.23,1859.7,8.3,1.01,1882.8,1,73
89350,lying,0,0,85.23,1859.7,8.3,1.01,1882.8,1,72
89741,lying,0,0,85.23,1859.6,10.7,1.01,1882.8,1,72
90141,lying,0,0,84.8,1858.8,10.7,1.01,1882.8,1,71
90540,lying,0,0,84.8,1859.2,11.9,1.01,1882.8,1,71
90941,lying,0,0,71.6,1860.5,33.9,1.12,2082.5,1,71
91341,lying,0,0,71.6,1855.1,101.1,1.2,2227.7,1,70
91742,lying,0,0,71.6,1857.2,109.6,1.2,2227.7,1,70
92141,lying,0,0,71.6,1861.3,113.9,1.2,2227.7,1,69
92542,lying,0,0,71.6,1857.7,114.3,1.2,2227.7,1,69
92942,lying,0,0,71.6,1853.9,114.4,1.2,2227.7,1,69
93343,lying,0,0,71.6,1849.4,109.8,1.2,2227.7,1,68
93742,lying,0,0,71.6,1851.7,55.6,1.11,2053.4,1,68
94143,lying,0,0,71.6,1846.3,35.5,1.1,2023.6,1,67
94543,lying,0,0,71.6,1838.0,13.4,1.02,1882.0,1,67
94944,lying,0,0,71.6,1837.9,13.3,1.02,1882.0,1,67
95344,lying,0,0,71.6,1839.1,14.8,1.02,1882.0,1,66
95743,lying,0,0,71.6,1838.2,14.7,1.02,1882.0,1,66
96144,lying,0,0,71.6,1838.6,14.5,1.02,1882.0,1,65
96545,lying,0,0,71.6,1838.6,14.0,1.02,1882.0,1,65
96945,lying,0,0,71.6,1839.9,10.4,1.02,1869.9,1,65
97344,lying,0,0,71.6,1840.0,10.3,1.02,1869.9,1,64
97745,lying,0,0,71.6,1838.5,8.2,1.01,1859.2,1,64
98146,lying,0,0,71.6,1839.9,8.4,1.01,1859.2,1,63
98546,lying,0,0,71.6,1839.2,8.2,1.01,1857.8,1,63
98946,lying,0,0,71.6,1839.6,9.3,1.01,1857.8,1,63
99346,lying,0,0,71.6,1840.9,9.7,1.01,1866.7,1,62
99747,lying,0,0,71.6,1841.7,9.2,1.01,1866.7,1,62
100147,lying,0,0,71.6,1842.6,8.7,1.01,1866.7,1,61
100546,lying,0,0,71.6,1841.7,8.9,1.01,1866.7,1,61
100947,lying,0,0,71.6,1842.3,8.7,1.01,1866.7,1,61
101348,lying,0,0,71.6,1842.8,8.4,1.01,1866.7,1,60
101748,lying,0,0,71.6,1842.4,7.6,1.01,1858.2,1,60
102148,lying,0,0,71.6,1842.2,8.4,1.01,1858.2,1,59
102548,lying,0,0,71.6,1842.4,9.5,1.02,1879.6,1,59
102948,lying,0,0,71.6,1842.5,9.7,1.02,1879.6,1,59
103349,lying,0,0,71.6,1841.7,10.1,1.02,1879.6,1,58
103749,lying,0,0,71.6,1840.6,10.0,1.02,1879.6,1,58
104149,lying,0,0,71.6,1839.1,10.7,1.02,1879.6,1,57
104549,lying,0,0,71.6,1838.2,12.2,1.02,1879.6,1,57
104950,lying,0,0,71.6,1837.9,12.5,1.02,1869.7,1,57
105349,lying,0,0,71.6,1850.4,54.5,1.21,2232.6,1,56
105749,lying,0,0,71.6,1842.0,68.9,1.21,2232.6,1,56
106149,lying,0,0,71.6,1839.1,71.9,1.21,2232.6,1,55
106541,lying,0,0,71.6,1840.7,73.3,1.21,2232.6,1,55
106941,lying,0,0,71.6,1840.2,75.0,1.21,2232.6,1,55
107341,lying,0,0,71.6,1839.3,75.1,1.21,2232.6,1,54
107740,lying,0,0,71.6,1824.2,50.4,1.07,1956.1,1,54
108142,lying,0,0,71.6,1834.1,35.0,1.07,1956.1,1,53
108542,lying,0,0,71.6,1860.7,118.3,1.32,2451.1,1,53
108941,lying,0,0,71.6,1872.3,132.5,1.31,2451.1,1,53
