elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh,seconds_left
48390,lying,1,0,88.15,1846.3,108.3,1.2,2208.6,1,1,89
48791,lying,1,0,88.15,1849.8,105.4,1.19,2208.6,1,1,89
49191,lying,1,0,88.15,1850.8,87.8,1.11,2061.0,1,0,89
49591,lying,1,0,88.15,1850.6,82.0,1.11,2061.0,1,0,88
49992,lying,1,0,88.15,1846.2,72.5,1.12,2061.0,1,0,88
50392,lying,1,0,88.15,1841.7,67.2,1.12,2061.0,1,0,87
50792,lying,1,0,88.15,1841.5,70.5,1.12,2061.0,1,0,87
51193,lying,1,0,88.15,1833.2,67.3,1.12,2061.0,1,0,87
51592,lying,1,0,88.15,1829.8,53.2,1.1,2014.4,1,0,86
51991,lying,1,0,88.15,1833.9,50.8,1.1,2014.4,1,0,86
52392,lying,1,0,88.15,1840.7,49.5,1.09,2014.4,1,0,85
52793,lying,1,0,88.15,1847.3,52.8,1.09,2014.4,1,0,85
53193,lying,1,0,88.15,1855.5,55.3,1.09,2025.4,1,0,85
53593,lying,1,0,88.15,1850.8,71.7,1.09,2025.4,1,0,84
54093,lying,1,0,88.15,1852.7,81.1,1.09,2025.4,1,0,84
54491,lying,1,0,88.15,1867.4,103.5,1.15,2139.7,1,0,83
54892,lying,1,0,88.15,1857.7,132.2,1.16,2147.2,1,0,83
55295,lying,1,0,88.15,1835.6,158.7,1.17,2147.2,1,0,83
55693,lying,1,0,88.15,1821.1,215.5,1.37,2489.8,1,0,82
56101,lying,1,0,88.15,1738.4,328.2,1.43,2489.8,1,0,82
56492,lying,1,0,88.15,1832.7,449.0,1.72,3159.9,1,0,81
56894,lying,1,0,88.15,1818.5,452.6,1.74,3159.9,1,0,81
57309,lying,1,0,88.15,1824.6,447.1,1.73,3159.9,1,0,81
57693,lying,1,0,88.15,1874.1,445.9,1.69,3159.9,1,0,80
58105,lying,1,0,88.15,1875.4,421.0,1.68,3159.9,1,0,80
58494,lying,1,0,88.15,1973.0,305.9,1.6,3159.9,1,0,79
58895,lying,1,0,88.15,1898.4,251.7,1.38,2624.0,1,0,79
59321,lying,1,0,88.15,1912.3,245.4,1.37,2624.0,1,0,79
59694,lying,1,0,88.15,1940.3,265.6,1.35,2624.0,1,0,78
60095,lying,1,0,88.15,1959.2,389.5,2.04,3987.1,1,0,78
60519,lying,1,0,88.15,2003.7,385.8,1.99,3987.1,1,0,77
60895,lying,1,0,88.15,2035.9,375.1,1.96,3987.1,1,0,77
68899,lying,0,0,88.15,2111.0,283.1,1.67,3530.8,1,0,69
70099,lying,0,0,88.15,2092.9,123.4,1.19,2489.1,1,0,68
71705,lying,0,0,88.15,2100.9,12.7,1.02,2135.6,1,0,66
73690,lying,0,0,88.15,2100.3,9.6,1.01,2120.1,1,0,64
84895,lying,0,0,86.22,2241.1,192.3,1.4,3131.3,1,0,53
85696,lying,0,0,75.69,2211.7,287.8,1.42,3131.3,1,1,52
96490,lying,0,0,75.69,2143.5,14.4,1.01,2172.3,1,0,41
99691,lying,0,0,74.4,2234.2,253.1,1.4,3126.2,1,1,38
108494,lying,0,0,70.44,2176.2,21.3,1.03,2241.4,1,1,29
125691,lying,0,0,70.44,2197.1,16.7,1.03,2261.0,1,0,12
126092,lying,0,0,70.44,2204.6,26.8,1.04,2295.3,1,0,12
126494,lying,0,0,70.44,2201.5,25.8,1.04,2295.3,1,0,11
130494,lying,0,0,70.44,2173.6,15.0,1.02,2214.7,1,0,7
132904,lying,0,0,70.44,2191.6,12.9,1.01,2220.5,1,0,5
133294,lying,0,0,70.44,2192.3,13.9,1.02,2229.7,1,0,5
135352,lying,0,0,70.44,2191.8,12.9,1.02,2229.7,1,0,3
136102,lying,0,0,70.44,2190.9,11.3,1.01,2217.2,1,0,2
137329,lying,0,0,66.26,2194.3,16.3,1.02,2248.9,1,1,1
137697,lying,0,0,66.26,2196.5,15.6,1.02,2248.9,1,1,0
138099,lying,0,0,66.26,2194.7,19.3,1.02,2248.9,1,1,0
138497,sitting,1,0,66.26,2196.9,21.5,1.03,2266.1,1,1,89
138898,sitting,1,0,66.26,2194.0,19.0,1.03,2266.1,1,1,89
139322,sitting,1,0,66.26,2194.7,18.3,1.03,2266.1,1,1,89
139698,sitting,1,0,66.26,2192.1,18.4,1.03,2266.1,1,1,88
140098,sitting,1,0,66.26,2192.4,18.1,1.03,2266.1,1,1,88
140507,sitting,1,0,66.26,2194.0,13.9,1.03,2266.1,1,1,87
140897,sitting,1,0,66.26,2191.9,10.0,1.01,2218.1,1,0,87
141345,sitting,1,0,66.26,2193.7,9.7,1.01,2218.1,1,0,87
141716,sitting,1,0,79.89,2193.4,11.0,1.01,2218.1,1,1,86
142103,sitting,1,0,79.89,2194.6,10.2,1.01,2218.1,1,1,86
142498,sitting,1,0,91.89,2193.4,10.6,1.01,2213.6,1,1,85
142899,sitting,1,0,102.47,2192.5,11.4,1.01,2213.6,1,1,85
143315,sitting,1,0,102.47,2192.7,11.5,1.01,2213.9,1,1,85
143689,sitting,1,0,102.47,2193.2,12.1,1.01,2217.3,1,1,84
144090,sitting,1,0,102.47,2193.8,11.8,1.01,2217.3,1,1,84
144490,sitting,1,0,102.47,2193.3,11.8,1.01,2217.3,1,1,83
144889,sitting,1,0,102.47,2193.3,10.9,1.01,2217.3,1,1,83
147305,sitting,1,0,106.01,2192.2,17.3,1.02,2229.5,1,1,81
150493,sitting,1,0,93.64,2086.4,197.4,1.23,2568.6,1,1,77
157338,sitting,0,0,93.64,2027.4,114.8,1.12,2262.6,1,0,71
157695,sitting,0,0,93.64,2084.8,139.1,1.13,2356.5,1,0,70
158096,sitting,0,0,93.64,2136.3,141.0,1.1,2356.5,1,0,70
158517,sitting,0,0,93.64,2189.0,122.6,1.08,2356.5,1,0,69
158897,sitting,0,0,93.64,2225.8,89.2,1.06,2356.5,1,0,69
159313,sitting,0,0,93.64,2250.2,47.6,1.05,2356.5,1,0,69
159696,sitting,0,0,93.64,2254.3,41.3,1.05,2356.5,1,0,68
160897,sitting,0,0,93.64,2215.4,115.5,1.18,2606.8,1,0,67
164498,sitting,0,0,93.64,2007.4,123.9,1.14,2288.3,1,0,63
165310,sitting,0,0,93.64,2001.5,142.3,1.14,2288.3,1,0,63
165699,sitting,0,0,90.33,1967.7,145.1,1.16,2288.3,1,1,62
166123,sitting,0,0,90.33,1943.6,144.9,1.24,2415.0,1,1,62
166489,sitting,0,0,90.33,1918.0,163.6,1.26,2415.0,1,1,61
166890,sitting,0,0,90.33,1845.9,186.8,1.31,2415.0,1,1,61
167313,sitting,0,0,90.33,1903.7,238.6,1.29,2455.6,1,1,61
167689,sitting,0,0,90.33,1925.8,244.1,1.28,2455.6,1,1,60
168097,sitting,0,0,90.33,1906.3,263.4,1.29,2455.6,1,1,60
168489,sitting,0,0,90.33,1915.4,345.3,1.73,3315.4,1,1,59
168891,sitting,0,0,90.33,1914.4,337.7,1.73,3315.4,1,1,59
169690,sitting,0,0,97.05,1886.9,271.2,1.76,3315.4,1,1,58
170119,sitting,0,0,97.05,1869.6,264.5,1.77,3315.4,1,1,58
170490,sitting,0,0,97.05,1886.0,267.0,1.76,3315.4,1,1,57
170891,sitting,0,0,97.05,1930.5,281.7,1.75,3375.6,1,1,57
172494,sitting,0,0,97.05,1893.2,287.6,1.78,3375.6,1,1,55
172892,sitting,0,0,97.05,1895.7,270.8,1.78,3375.6,1,1,55
173298,sitting,0,0,97.05,1825.7,72.7,1.07,1950.5,1,0,55
176094,sitting,0,0,85.5,1840.3,52.4,1.09,2009.6,1,1,52
178095,sitting,0,0,87.45,1834.2,39.1,1.07,1968.1,1,1,50
179760,sitting,0,0,77.03,1833.1,32.4,1.04,1904.0,1,1,48
180895,sitting,0,0,89.08,1836.7,62.2,1.11,2041.6,1,1,47
181306,sitting,0,0,89.08,1834.4,72.1,1.11,2041.6,1,1,47
183697,sitting,0,0,73.48,1835.5,36.1,1.05,1934.6,1,1,44
186104,sitting,0,0,77.69,1832.7,40.2,1.05,1928.3,1,1,42
187699,sitting,0,0,77.69,1831.4,32.9,1.07,1951.6,1,1,40
188090,sitting,0,0,77.69,1831.9,34.1,1.07,1951.6,1,1,40
188492,sitting,0,0,77.69,1828.7,37.6,1.07,1951.6,1,1,39
188889,sitting,0,0,77.69,1832.5,75.6,1.21,2212.0,1,1,39
191691,sitting,0,0,77.69,1827.7,35.1,1.08,1976.1,1,0,36
192534,sitting,0,0,77.69,1829.6,12.8,1.02,1858.3,1,0,35
194493,sitting,0,0,77.69,1829.1,11.5,1.02,1858.3,1,0,33
197293,sitting,0,0,77.69,1828.8,11.3,1.01,1854.9,1,0,31
200122,sitting,0,0,77.69,1830.5,27.3,1.04,1894.5,1,0,28
201319,sitting,0,0,77.69,1831.2,33.7,1.05,1915.5,1,0,27
202496,sitting,0,0,77.69,1829.8,30.4,1.05,1915.5,1,0,25
204497,sitting,0,0,77.69,1827.2,16.5,1.03,1878.0,1,0,23
205306,sitting,0,0,77.69,1824.9,28.0,1.05,1925.1,1,0,23
212123,sitting,0,0,70.83,1827.5,21.9,1.04,1904.3,1,1,16
215293,sitting,0,0,85.89,1825.4,29.2,1.06,1938.8,1,1,13
216093,sitting,0,0,85.89,1825.4,30.9,1.06,1938.8,1,1,12
216620,sitting,0,0,85.89,1823.5,38.8,1.06,1938.8,1,1,11
219296,sitting,0,0,85.89,1825.0,33.6,1.06,1928.6,1,0,9
221296,sitting,0,0,85.89,1824.0,22.6,1.03,1877.1,1,0,7
221714,sitting,0,0,85.89,1823.8,22.9,1.03,1877.1,1,0,6
222095,sitting,0,0,72.98,1823.4,23.0,1.03,1877.1,1,1,6
222518,sitting,0,0,72.98,1823.3,25.0,1.03,1882.8,1,1,5
222896,sitting,0,0,72.98,1822.8,22.7,1.03,1882.8,1,1,5
224097,sitting,0,0,72.98,1824.7,23.5,1.03,1882.8,1,1,4
224912,sitting,0,0,72.98,1826.1,22.4,1.03,1879.3,1,1,3
226965,sitting,0,0,72.98,1825.5,13.9,1.02,1861.9,1,0,1
228490,standing,1,0,72.98,1822.7,14.4,1.03,1875.6,1,0,89
231290,standing,1,0,72.98,1823.3,38.4,1.09,1984.6,1,0,87
233320,standing,1,0,75.49,1825.2,42.2,1.09,1984.6,1,1,85
236520,standing,1,0,75.49,1898.7,195.4,1.61,3058.1,1,0,81
236893,standing,1,0,75.49,1885.9,110.8,1.18,2226.1,1,0,81
240528,standing,1,0,75.49,1887.3,138.4,1.14,2148.1,1,0,77
242525,standing,1,0,75.49,1856.9,90.5,1.1,2047.9,1,0,75
242896,standing,1,0,69.03,1848.7,85.6,1.11,2047.9,1,1,75
244898,standing,0,0,69.03,1851.8,96.0,1.13,2090.1,1,1,73
245298,standing,0,0,69.03,1880.2,135.8,1.29,2420.7,1,1,73
246098,standing,0,0,69.03,1882.4,280.0,1.68,3153.2,1,1,72
248089,standing,0,0,64.02,1869.5,303.2,1.59,2963.9,1,1,70
248889,standing,0,0,64.02,1864.1,291.8,1.59,2963.9,1,1,69
249339,standing,0,0,64.02,1871.4,201.1,1.55,2893.4,1,1,69
253692,standing,0,0,64.02,1843.4,24.2,1.08,1982.2,1,0,64
255299,standing,0,0,72.65,1835.0,405.2,1.56,2867.5,1,1,63
255693,standing,0,0,72.65,1840.7,419.3,1.56,2867.5,1,1,62
256094,standing,0,0,72.65,1840.8,434.1,1.56,2867.5,1,1,62
257348,standing,0,0,72.65,1848.6,298.4,1.34,2480.9,1,1,61
257695,standing,0,0,72.65,1889.1,261.5,1.31,2480.9,1,1,60
258095,standing,0,0,72.65,1888.4,241.6,1.31,2480.9,1,1,60
258495,standing,0,0,72.65,1878.6,216.9,1.32,2480.9,1,0,59
258894,standing,0,0,72.65,1880.8,204.1,1.32,2480.9,1,0,59
259339,standing,0,0,72.65,1876.6,195.1,1.32,2480.9,1,0,59
259695,standing,0,0,72.65,1853.9,129.5,1.12,2077.7,1,0,58
260110,standing,0,0,72.65,1850.8,64.5,1.1,2029.4,1,0,58
260495,standing,0,0,72.65,1861.4,68.1,1.12,2079.1,1,0,57
260896,standing,0,0,72.65,1872.3,57.4,1.11,2079.1,1,0,57
261327,standing,0,0,72.65,1867.6,54.5,1.11,2079.1,1,0,57
269691,standing,0,0,71.57,1885.5,79.2,1.14,2146.9,1,1,48
270193,standing,0,0,71.57,1893.3,83.7,1.13,2146.9,1,1,48
270891,standing,0,0,71.57,1862.6,157.8,1.17,2180.2,1,1,47
271332,standing,0,0,71.57,1853.3,187.6,1.19,2201.3,1,0,47
271690,standing,0,0,71.57,1849.6,196.7,1.19,2201.3,1,0,46
272092,standing,0,0,71.57,1819.8,190.5,1.21,2201.3,1,0,46
272493,standing,0,0,72.57,1815.0,186.9,1.21,2201.3,1,1,45
272891,standing,0,0,72.57,1810.6,174.2,1.22,2201.3,1,1,45
273322,standing,0,0,72.57,1820.9,140.7,1.21,2201.3,1,1,45
273693,standing,0,0,72.57,1815.7,94.9,1.18,2142.8,1,1,44
274093,standing,0,0,72.57,1810.0,67.2,1.07,1943.9,1,1,44
274513,standing,0,0,72.57,1814.6,56.1,1.07,1943.9,1,1,43
274892,standing,0,0,72.57,1801.9,64.1,1.08,1946.8,1,1,43
276094,standing,0,0,72.57,1819.8,98.4,1.11,2011.5,1,1,42
276494,standing,0,0,73.73,1814.8,101.3,1.11,2011.5,1,1,41
276893,standing,0,0,73.73,1818.8,101.8,1.11,2011.5,1,1,41
277294,standing,0,0,73.73,1822.2,94.7,1.1,2011.5,1,1,41
277725,standing,0,0,73.73,1821.8,94.0,1.1,2011.5,1,1,40
278093,standing,0,0,73.73,1816.0,86.9,1.11,2011.5,1,1,40
278495,standing,0,0,82.52,1816.4,80.8,1.08,1966.2,1,1,39
278931,standing,0,0,82.52,1824.8,78.4,1.08,1966.2,1,1,39
279293,standing,0,0,82.52,1822.6,76.4,1.08,1966.2,1,1,39
279696,standing,0,0,70.33,1825.2,68.9,1.08,1966.2,1,1,38
280125,standing,0,0,70.33,1831.4,56.3,1.07,1966.2,1,1,38
280605,standing,0,0,66.0,1825.1,54.5,1.06,1939.2,1,1,37
280900,standing,0,0,66.0,1820.0,53.5,1.07,1939.2,1,1,37
281294,standing,0,0,66.0,1815.6,57.3,1.07,1939.2,1,1,37
281696,standing,0,0,60.8,1827.4,68.4,1.07,1963.3,1,1,36
282125,standing,0,0,60.8,1822.0,73.1,1.08,1963.3,1,1,36
282495,standing,0,0,60.8,1819.2,65.0,1.08,1963.3,1,1,35
