509019,BOOT reset_reason=OTHER heap=326140
13373,BOOT reset_reason=OTHER heap=326836
19487,telemetry: WiFi status -> DISCONNECTED
19515,watchdog: PPG lost contact, firing warning beep
22923,watchdog: PPG lost contact, firing warning beep
25997,watchdog: PPG lost contact, firing warning beep
29037,watchdog: PPG lost contact, firing warning beep
32081,watchdog: PPG lost contact, firing warning beep
35118,watchdog: PPG lost contact, firing warning beep
38159,watchdog: PPG lost contact, firing warning beep
41200,watchdog: PPG lost contact, firing warning beep
44280,watchdog: PPG lost contact, firing warning beep
47361,watchdog: PPG lost contact, firing warning beep
50433,watchdog: PPG lost contact, firing warning beep
53685,watchdog: PPG lost contact, firing warning beep
56753,watchdog: PPG lost contact, firing warning beep
59834,watchdog: PPG lost contact, firing warning beep
62887,watchdog: PPG lost contact, firing warning beep
65955,watchdog: PPG lost contact, firing warning beep
69036,watchdog: PPG lost contact, firing warning beep
72089,watchdog: PPG lost contact, firing warning beep
75157,watchdog: PPG lost contact, firing warning beep
78238,watchdog: PPG lost contact, firing warning beep
81292,watchdog: PPG lost contact, firing warning beep
84359,watchdog: PPG lost contact, firing warning beep
87440,watchdog: PPG lost contact, firing warning beep
90495,watchdog: PPG lost contact, firing warning beep
93561,watchdog: PPG lost contact, firing warning beep
96632,watchdog: PPG lost contact, firing warning beep
99685,watchdog: PPG lost contact, firing warning beep
102753,watchdog: PPG lost contact, firing warning beep
105834,watchdog: PPG lost contact, firing warning beep
108915,watchdog: PPG lost contact, firing warning beep
111995,watchdog: PPG lost contact, firing warning beep
115076,watchdog: PPG lost contact, firing warning beep
118156,watchdog: PPG lost contact, firing warning beep
121238,watchdog: PPG lost contact, firing warning beep
124358,watchdog: PPG lost contact, firing warning beep
127438,watchdog: PPG lost contact, firing warning beep
130491,watchdog: PPG lost contact, firing warning beep
133559,watchdog: PPG lost contact, firing warning beep
136640,watchdog: PPG lost contact, firing warning beep
139721,watchdog: PPG lost contact, firing warning beep
142792,watchdog: PPG lost contact, firing warning beep
145872,watchdog: PPG lost contact, firing warning beep
148953,watchdog: PPG lost contact, firing warning beep
152035,watchdog: PPG lost contact, firing warning beep
