1777014,BOOT reset_reason=OTHER heap=329200
13864,BOOT reset_reason=OTHER heap=329200
16965,BLE: initial advertising start OK
19972,watchdog: PPG lost contact, firing warning beep
23013,watchdog: PPG lost contact, firing warning beep
26055,watchdog: PPG lost contact, firing warning beep
33298,watchdog: PPG lost contact, firing warning beep
66370,BLE: client connected
249843,BLE: client disconnected, restarting advertising
250077,BLE: advertising restarted OK
265345,BLE: client connected
310114,BLE: client disconnected, restarting advertising
310380,BLE: advertising restarted OK
405010,BLE: client connected
460095,BLE: client disconnected, restarting advertising
460340,BLE: advertising restarted OK
461449,BLE: client connected
485637,BLE: client disconnected, restarting advertising
485879,BLE: advertising restarted OK
528574,watchdog: PPG lost contact, firing warning beep
590778,watchdog: PPG lost contact, firing warning beep
593820,watchdog: PPG lost contact, firing warning beep
603174,watchdog: PPG lost contact, firing warning beep
606215,watchdog: PPG lost contact, firing warning beep
609257,watchdog: PPG lost contact, firing warning beep
616100,watchdog: PPG lost contact, firing warning beep
622414,watchdog: PPG lost contact, firing warning beep
625455,watchdog: PPG lost contact, firing warning beep
628497,watchdog: PPG lost contact, firing warning beep
638852,watchdog: PPG lost contact, firing warning beep
641933,watchdog: PPG lost contact, firing warning beep
644976,watchdog: PPG lost contact, firing warning beep
648056,watchdog: PPG lost contact, firing warning beep
651138,watchdog: PPG lost contact, firing warning beep
654219,watchdog: PPG lost contact, firing warning beep
657301,watchdog: PPG lost contact, firing warning beep
660372,watchdog: PPG lost contact, firing warning beep
663454,watchdog: PPG lost contact, firing warning beep
965337,watchdog: PPG lost contact, firing warning beep
968379,watchdog: PPG lost contact, firing warning beep
971460,watchdog: PPG lost contact, firing warning beep
974532,watchdog: PPG lost contact, firing warning beep
982017,watchdog: PPG lost contact, firing warning beep
985098,watchdog: PPG lost contact, firing warning beep
988181,watchdog: PPG lost contact, firing warning beep
991252,watchdog: PPG lost contact, firing warning beep
994334,watchdog: PPG lost contact, firing warning beep
997416,watchdog: PPG lost contact, firing warning beep
1000497,watchdog: PPG lost contact, firing warning beep
1003579,watchdog: PPG lost contact, firing warning beep
1006661,watchdog: PPG lost contact, firing warning beep
1009733,watchdog: PPG lost contact, firing warning beep
1012814,watchdog: PPG lost contact, firing warning beep
1015896,watchdog: PPG lost contact, firing warning beep
1018979,watchdog: PPG lost contact, firing warning beep
1022060,watchdog: PPG lost contact, firing warning beep
1025132,watchdog: PPG lost contact, firing warning beep
1028293,watchdog: PPG lost contact, firing warning beep
1031376,watchdog: PPG lost contact, firing warning beep
1034457,watchdog: PPG lost contact, firing warning beep
1037539,watchdog: PPG lost contact, firing warning beep
1040621,watchdog: PPG lost contact, firing warning beep
1043692,watchdog: PPG lost contact, firing warning beep
1046774,watchdog: PPG lost contact, firing warning beep
1049856,watchdog: PPG lost contact, firing warning beep
1052938,watchdog: PPG lost contact, firing warning beep
1056019,watchdog: PPG lost contact, firing warning beep
1059101,watchdog: PPG lost contact, firing warning beep
1062173,watchdog: PPG lost contact, firing warning beep
1065254,watchdog: PPG lost contact, firing warning beep
1068336,watchdog: PPG lost contact, firing warning beep
1071417,watchdog: PPG lost contact, firing warning beep
1074499,watchdog: PPG lost contact, firing warning beep
1077580,watchdog: PPG lost contact, firing warning beep
1080652,watchdog: PPG lost contact, firing warning beep
1083733,watchdog: PPG lost contact, firing warning beep
1086815,watchdog: PPG lost contact, firing warning beep
1089897,watchdog: PPG lost contact, firing warning beep
1093018,watchdog: PPG lost contact, firing warning beep
1099382,watchdog: PPG lost contact, firing warning beep
1102453,watchdog: PPG lost contact, firing warning beep
1105494,watchdog: PPG lost contact, firing warning beep
1108536,watchdog: PPG lost contact, firing warning beep
1111577,watchdog: PPG lost contact, firing warning beep
1114619,watchdog: PPG lost contact, firing warning beep
1117660,watchdog: PPG lost contact, firing warning beep
1122212,watchdog: PPG lost contact, firing warning beep
1125254,watchdog: PPG lost contact, firing warning beep
1128295,watchdog: PPG lost contact, firing warning beep
1131456,watchdog: PPG lost contact, firing warning beep
1134498,watchdog: PPG lost contact, firing warning beep
1137539,watchdog: PPG lost contact, firing warning beep
1140582,watchdog: PPG lost contact, firing warning beep
1143652,watchdog: PPG lost contact, firing warning beep
1146694,watchdog: PPG lost contact, firing warning beep
1149736,watchdog: PPG lost contact, firing warning beep
1152777,watchdog: PPG lost contact, firing warning beep
1155819,watchdog: PPG lost contact, firing warning beep
1158860,watchdog: PPG lost contact, firing warning beep
1161932,watchdog: PPG lost contact, firing warning beep
1164975,watchdog: PPG lost contact, firing warning beep
1168015,watchdog: PPG lost contact, firing warning beep
1171057,watchdog: PPG lost contact, firing warning beep
1174099,watchdog: PPG lost contact, firing warning beep
1177140,watchdog: PPG lost contact, firing warning beep
1180212,watchdog: PPG lost contact, firing warning beep
1183293,watchdog: PPG lost contact, firing warning beep
1186335,watchdog: PPG lost contact, firing warning beep
1189377,watchdog: PPG lost contact, firing warning beep
1192458,watchdog: PPG lost contact, firing warning beep
1195499,watchdog: PPG lost contact, firing warning beep
1198541,watchdog: PPG lost contact, firing warning beep
1201612,watchdog: PPG lost contact, firing warning beep
1204654,watchdog: PPG lost contact, firing warning beep
1207696,watchdog: PPG lost contact, firing warning beep
1210737,watchdog: PPG lost contact, firing warning beep
1213779,watchdog: PPG lost contact, firing warning beep
1216860,watchdog: PPG lost contact, firing warning beep
1219941,watchdog: PPG lost contact, firing warning beep
1223013,watchdog: PPG lost contact, firing warning beep
1226094,watchdog: PPG lost contact, firing warning beep
1229256,watchdog: PPG lost contact, firing warning beep
1232337,watchdog: PPG lost contact, firing warning beep
1235380,watchdog: PPG lost contact, firing warning beep
1238460,watchdog: PPG lost contact, firing warning beep
1241532,watchdog: PPG lost contact, firing warning beep
1244613,watchdog: PPG lost contact, firing warning beep
1247695,watchdog: PPG lost contact, firing warning beep
1250776,watchdog: PPG lost contact, firing warning beep
1253858,watchdog: PPG lost contact, firing warning beep
1256939,watchdog: PPG lost contact, firing warning beep
1260020,watchdog: PPG lost contact, firing warning beep
1263092,watchdog: PPG lost contact, firing warning beep
1266174,watchdog: PPG lost contact, firing warning beep
1269255,watchdog: PPG lost contact, firing warning beep
1272336,watchdog: PPG lost contact, firing warning beep
1275417,watchdog: PPG lost contact, firing warning beep
1278499,watchdog: PPG lost contact, firing warning beep
1281580,watchdog: PPG lost contact, firing warning beep
1284652,watchdog: PPG lost contact, firing warning beep
1287733,watchdog: PPG lost contact, firing warning beep
1290814,watchdog: PPG lost contact, firing warning beep
1293896,watchdog: PPG lost contact, firing warning beep
1296979,watchdog: PPG lost contact, firing warning beep
1300059,watchdog: PPG lost contact, firing warning beep
1303141,watchdog: PPG lost contact, firing warning beep
1306212,watchdog: PPG lost contact, firing warning beep
1309294,watchdog: PPG lost contact, firing warning beep
1312375,watchdog: PPG lost contact, firing warning beep
1315456,watchdog: PPG lost contact, firing warning beep
1318538,watchdog: PPG lost contact, firing warning beep
1321620,watchdog: PPG lost contact, firing warning beep
1324661,watchdog: PPG lost contact, firing warning beep
1327813,watchdog: PPG lost contact, firing warning beep
1330854,watchdog: PPG lost contact, firing warning beep
1333896,watchdog: PPG lost contact, firing warning beep
1336937,watchdog: PPG lost contact, firing warning beep
1339979,watchdog: PPG lost contact, firing warning beep
1343020,watchdog: PPG lost contact, firing warning beep
1346092,watchdog: PPG lost contact, firing warning beep
1349133,watchdog: PPG lost contact, firing warning beep
1352176,watchdog: PPG lost contact, firing warning beep
1355216,watchdog: PPG lost contact, firing warning beep
1358258,watchdog: PPG lost contact, firing warning beep
1361300,watchdog: PPG lost contact, firing warning beep
1364341,watchdog: PPG lost contact, firing warning beep
1367413,watchdog: PPG lost contact, firing warning beep
1370454,watchdog: PPG lost contact, firing warning beep
1373496,watchdog: PPG lost contact, firing warning beep
1376538,watchdog: PPG lost contact, firing warning beep
1379579,watchdog: PPG lost contact, firing warning beep
1382621,watchdog: PPG lost contact, firing warning beep
1385692,watchdog: PPG lost contact, firing warning beep
1388734,watchdog: PPG lost contact, firing warning beep
1391776,watchdog: PPG lost contact, firing warning beep
1394817,watchdog: PPG lost contact, firing warning beep
1397858,watchdog: PPG lost contact, firing warning beep
1400900,watchdog: PPG lost contact, firing warning beep
1403981,watchdog: PPG lost contact, firing warning beep
1407053,watchdog: PPG lost contact, firing warning beep
1410094,watchdog: PPG lost contact, firing warning beep
1413136,watchdog: PPG lost contact, firing warning beep
1416217,watchdog: PPG lost contact, firing warning beep
1419259,watchdog: PPG lost contact, firing warning beep
1422340,watchdog: PPG lost contact, firing warning beep
1425492,watchdog: PPG lost contact, firing warning beep
1428574,watchdog: PPG lost contact, firing warning beep
1431615,watchdog: PPG lost contact, firing warning beep
1434696,watchdog: PPG lost contact, firing warning beep
1437738,watchdog: PPG lost contact, firing warning beep
1440779,watchdog: PPG lost contact, firing warning beep
1443821,watchdog: PPG lost contact, firing warning beep
1446892,watchdog: PPG lost contact, firing warning beep
1449974,watchdog: PPG lost contact, firing warning beep
1453055,watchdog: PPG lost contact, firing warning beep
1456137,watchdog: PPG lost contact, firing warning beep
1459178,watchdog: PPG lost contact, firing warning beep
1462260,watchdog: PPG lost contact, firing warning beep
1465341,watchdog: PPG lost contact, firing warning beep
1468413,watchdog: PPG lost contact, firing warning beep
1471495,watchdog: PPG lost contact, firing warning beep
1474577,watchdog: PPG lost contact, firing warning beep
1477658,watchdog: PPG lost contact, firing warning beep
1480739,watchdog: PPG lost contact, firing warning beep
1483821,watchdog: PPG lost contact, firing warning beep
1486893,watchdog: PPG lost contact, firing warning beep
1489974,watchdog: PPG lost contact, firing warning beep
1493056,watchdog: PPG lost contact, firing warning beep
1496137,watchdog: PPG lost contact, firing warning beep
1499219,watchdog: PPG lost contact, firing warning beep
1502301,watchdog: PPG lost contact, firing warning beep
1505373,watchdog: PPG lost contact, firing warning beep
1508454,watchdog: PPG lost contact, firing warning beep
1511535,watchdog: PPG lost contact, firing warning beep
1514617,watchdog: PPG lost contact, firing warning beep
1517698,watchdog: PPG lost contact, firing warning beep
1520780,watchdog: PPG lost contact, firing warning beep
1523972,watchdog: PPG lost contact, firing warning beep
1527053,watchdog: PPG lost contact, firing warning beep
1530135,watchdog: PPG lost contact, firing warning beep
1533216,watchdog: PPG lost contact, firing warning beep
1536298,watchdog: PPG lost contact, firing warning beep
1539381,watchdog: PPG lost contact, firing warning beep
1542461,watchdog: PPG lost contact, firing warning beep
1545573,watchdog: PPG lost contact, firing warning beep
1548614,watchdog: PPG lost contact, firing warning beep
1551656,watchdog: PPG lost contact, firing warning beep
1554698,watchdog: PPG lost contact, firing warning beep
1557739,watchdog: PPG lost contact, firing warning beep
1560781,watchdog: PPG lost contact, firing warning beep
1563853,watchdog: PPG lost contact, firing warning beep
1566894,watchdog: PPG lost contact, firing warning beep
1569976,watchdog: PPG lost contact, firing warning beep
1573017,watchdog: PPG lost contact, firing warning beep
