72347,BOOT reset_reason=OTHER heap=321520
75484,BLE: initial advertising start OK
78497,watchdog: PPG lost contact, firing warning beep
81530,watchdog: PPG lost contact, firing warning beep
84576,watchdog: PPG lost contact, firing warning beep
87616,watchdog: PPG lost contact, firing warning beep
90656,watchdog: PPG lost contact, firing warning beep
93690,watchdog: PPG lost contact, firing warning beep
96730,watchdog: PPG lost contact, firing warning beep
99856,watchdog: PPG lost contact, firing warning beep
102936,watchdog: PPG lost contact, firing warning beep
106041,watchdog: PPG lost contact, firing warning beep
109098,watchdog: PPG lost contact, firing warning beep
112217,watchdog: PPG lost contact, firing warning beep
115296,watchdog: PPG lost contact, firing warning beep
118566,watchdog: PPG lost contact, firing warning beep
121656,watchdog: PPG lost contact, firing warning beep
124737,watchdog: PPG lost contact, firing warning beep
128027,watchdog: PPG lost contact, firing warning beep
131191,watchdog: PPG lost contact, firing warning beep
134279,watchdog: PPG lost contact, firing warning beep
137352,watchdog: PPG lost contact, firing warning beep
140457,watchdog: PPG lost contact, firing warning beep
143499,watchdog: PPG lost contact, firing warning beep
155976,watchdog: PPG lost contact, firing warning beep
159256,watchdog: PPG lost contact, firing warning beep
162297,watchdog: PPG lost contact, firing warning beep
165377,watchdog: PPG lost contact, firing warning beep
168423,watchdog: PPG lost contact, firing warning beep
171496,watchdog: PPG lost contact, firing warning beep
174535,watchdog: PPG lost contact, firing warning beep
177577,watchdog: PPG lost contact, firing warning beep
180617,watchdog: PPG lost contact, firing warning beep
183697,watchdog: PPG lost contact, firing warning beep
186738,watchdog: PPG lost contact, firing warning beep
189817,watchdog: PPG lost contact, firing warning beep
192856,watchdog: PPG lost contact, firing warning beep
195985,watchdog: PPG lost contact, firing warning beep
199057,watchdog: PPG lost contact, firing warning beep
202177,watchdog: PPG lost contact, firing warning beep
205217,watchdog: PPG lost contact, firing warning beep
211910,watchdog: PPG lost contact, firing warning beep
215096,watchdog: PPG lost contact, firing warning beep
218137,watchdog: PPG lost contact, firing warning beep
221288,watchdog: PPG lost contact, firing warning beep
224478,watchdog: PPG lost contact, firing warning beep
230544,BOOT reset_reason=POWERON heap=321644
29491,BOOT reset_reason=OTHER heap=321644
32702,BLE: initial advertising start OK
35759,watchdog: PPG lost contact, firing warning beep
38844,watchdog: PPG lost contact, firing warning beep
41923,watchdog: PPG lost contact, firing warning beep
45002,watchdog: PPG lost contact, firing warning beep
48082,watchdog: PPG lost contact, firing warning beep
51162,watchdog: PPG lost contact, firing warning beep
280537,BOOT reset_reason=OTHER heap=321644
16448,BOOT reset_reason=OTHER heap=321644
19900,BLE: initial advertising start OK
270563,BOOT reset_reason=OTHER heap=321732
363533,BLE: initial advertising start OK
366598,watchdog: PPG lost contact, firing warning beep
369679,watchdog: PPG lost contact, firing warning beep
372759,watchdog: PPG lost contact, firing warning beep
375839,watchdog: PPG lost contact, firing warning beep
378919,watchdog: PPG lost contact, firing warning beep
382001,watchdog: PPG lost contact, firing warning beep
385080,watchdog: PPG lost contact, firing warning beep
388159,watchdog: PPG lost contact, firing warning beep
391239,watchdog: PPG lost contact, firing warning beep
394318,watchdog: PPG lost contact, firing warning beep
397720,watchdog: PPG lost contact, firing warning beep
400803,watchdog: PPG lost contact, firing warning beep
403882,watchdog: PPG lost contact, firing warning beep
407081,watchdog: PPG lost contact, firing warning beep
410616,watchdog: PPG lost contact, firing warning beep
413695,watchdog: PPG lost contact, firing warning beep
416866,watchdog: PPG lost contact, firing warning beep
420001,watchdog: PPG lost contact, firing warning beep
423152,watchdog: PPG lost contact, firing warning beep
426272,watchdog: PPG lost contact, firing warning beep
429362,watchdog: PPG lost contact, firing warning beep
432598,watchdog: PPG lost contact, firing warning beep
435695,watchdog: PPG lost contact, firing warning beep
438761,watchdog: PPG lost contact, firing warning beep
441842,watchdog: PPG lost contact, firing warning beep
445441,watchdog: PPG lost contact, firing warning beep
448544,watchdog: PPG lost contact, firing warning beep
451603,watchdog: PPG lost contact, firing warning beep
454722,watchdog: PPG lost contact, firing warning beep
461643,watchdog: PPG lost contact, firing warning beep
464697,watchdog: PPG lost contact, firing warning beep
467757,watchdog: PPG lost contact, firing warning beep
471602,watchdog: PPG lost contact, firing warning beep
474683,watchdog: PPG lost contact, firing warning beep
477776,watchdog: PPG lost contact, firing warning beep
480885,watchdog: PPG lost contact, firing warning beep
484568,watchdog: PPG lost contact, firing warning beep
487643,watchdog: PPG lost contact, firing warning beep
490723,watchdog: PPG lost contact, firing warning beep
493819,watchdog: PPG lost contact, firing warning beep
496910,watchdog: PPG lost contact, firing warning beep
500040,watchdog: PPG lost contact, firing warning beep
503244,watchdog: PPG lost contact, firing warning beep
506745,watchdog: PPG lost contact, firing warning beep
509883,watchdog: PPG lost contact, firing warning beep
512956,watchdog: PPG lost contact, firing warning beep
516020,watchdog: PPG lost contact, firing warning beep
519505,watchdog: PPG lost contact, firing warning beep
522646,watchdog: PPG lost contact, firing warning beep
525804,watchdog: PPG lost contact, firing warning beep
528883,watchdog: PPG lost contact, firing warning beep
531955,watchdog: PPG lost contact, firing warning beep
535130,watchdog: PPG lost contact, firing warning beep
538216,watchdog: PPG lost contact, firing warning beep
541649,watchdog: PPG lost contact, firing warning beep
544764,watchdog: PPG lost contact, firing warning beep
547845,watchdog: PPG lost contact, firing warning beep
553301,watchdog: PPG lost contact, firing warning beep
556395,watchdog: PPG lost contact, firing warning beep
559484,watchdog: PPG lost contact, firing warning beep
562995,watchdog: PPG lost contact, firing warning beep
566124,watchdog: PPG lost contact, firing warning beep
569282,watchdog: PPG lost contact, firing warning beep
572444,watchdog: PPG lost contact, firing warning beep
575974,watchdog: PPG lost contact, firing warning beep
579165,watchdog: PPG lost contact, firing warning beep
582260,watchdog: PPG lost contact, firing warning beep
585364,watchdog: PPG lost contact, firing warning beep
588517,watchdog: PPG lost contact, firing warning beep
591636,watchdog: PPG lost contact, firing warning beep
594717,watchdog: PPG lost contact, firing warning beep
597974,watchdog: PPG lost contact, firing warning beep
601137,watchdog: PPG lost contact, firing warning beep
607639,watchdog: PPG lost contact, firing warning beep
611439,watchdog: PPG lost contact, firing warning beep
615237,watchdog: PPG lost contact, firing warning beep
618317,watchdog: PPG lost contact, firing warning beep
621411,watchdog: PPG lost contact, firing warning beep
624554,watchdog: PPG lost contact, firing warning beep
628280,watchdog: PPG lost contact, firing warning beep
631437,watchdog: PPG lost contact, firing warning beep
634517,watchdog: PPG lost contact, firing warning beep
637639,watchdog: PPG lost contact, firing warning beep
641298,watchdog: PPG lost contact, firing warning beep
644423,watchdog: PPG lost contact, firing warning beep
647638,watchdog: PPG lost contact, firing warning beep
650720,watchdog: PPG lost contact, firing warning beep
654422,watchdog: PPG lost contact, firing warning beep
657591,watchdog: PPG lost contact, firing warning beep
660680,watchdog: PPG lost contact, firing warning beep
663759,watchdog: PPG lost contact, firing warning beep
667256,watchdog: PPG lost contact, firing warning beep
670439,watchdog: PPG lost contact, firing warning beep
673534,watchdog: PPG lost contact, firing warning beep
676599,watchdog: PPG lost contact, firing warning beep
679679,watchdog: PPG lost contact, firing warning beep
682732,watchdog: PPG lost contact, firing warning beep
685876,watchdog: PPG lost contact, firing warning beep
689281,watchdog: PPG lost contact, firing warning beep
692399,watchdog: PPG lost contact, firing warning beep
695479,watchdog: PPG lost contact, firing warning beep
698561,watchdog: PPG lost contact, firing warning beep
702221,watchdog: PPG lost contact, firing warning beep
705355,watchdog: PPG lost contact, firing warning beep
708441,watchdog: PPG lost contact, firing warning beep
711559,watchdog: PPG lost contact, firing warning beep
715039,watchdog: PPG lost contact, firing warning beep
718182,watchdog: PPG lost contact, firing warning beep
721275,watchdog: PPG lost contact, firing warning beep
724359,watchdog: PPG lost contact, firing warning beep
727845,watchdog: PPG lost contact, firing warning beep
730983,watchdog: PPG lost contact, firing warning beep
734122,watchdog: PPG lost contact, firing warning beep
737240,watchdog: PPG lost contact, firing warning beep
740441,watchdog: PPG lost contact, firing warning beep
743561,watchdog: PPG lost contact, firing warning beep
746640,watchdog: PPG lost contact, firing warning beep
750040,watchdog: PPG lost contact, firing warning beep
753121,watchdog: PPG lost contact, firing warning beep
756240,watchdog: PPG lost contact, firing warning beep
759359,watchdog: PPG lost contact, firing warning beep
762816,watchdog: PPG lost contact, firing warning beep
765961,watchdog: PPG lost contact, firing warning beep
769042,watchdog: PPG lost contact, firing warning beep
772122,watchdog: PPG lost contact, firing warning beep
775878,watchdog: PPG lost contact, firing warning beep
778973,watchdog: PPG lost contact, firing warning beep
782044,watchdog: PPG lost contact, firing warning beep
785161,watchdog: PPG lost contact, firing warning beep
788634,watchdog: PPG lost contact, firing warning beep
791764,watchdog: PPG lost contact, firing warning beep
794849,watchdog: PPG lost contact, firing warning beep
798003,watchdog: PPG lost contact, firing warning beep
801154,watchdog: PPG lost contact, firing warning beep
804243,watchdog: PPG lost contact, firing warning beep
807322,watchdog: PPG lost contact, firing warning beep
810641,watchdog: PPG lost contact, firing warning beep
813761,watchdog: PPG lost contact, firing warning beep
816841,watchdog: PPG lost contact, firing warning beep
819962,watchdog: PPG lost contact, firing warning beep
823495,watchdog: PPG lost contact, firing warning beep
826642,watchdog: PPG lost contact, firing warning beep
829721,watchdog: PPG lost contact, firing warning beep
832802,watchdog: PPG lost contact, firing warning beep
836556,watchdog: PPG lost contact, firing warning beep
839644,watchdog: PPG lost contact, firing warning beep
842800,watchdog: PPG lost contact, firing warning beep
845880,watchdog: PPG lost contact, firing warning beep
848960,watchdog: PPG lost contact, firing warning beep
852043,watchdog: PPG lost contact, firing warning beep
855120,watchdog: PPG lost contact, firing warning beep
858200,watchdog: PPG lost contact, firing warning beep
861280,watchdog: PPG lost contact, firing warning beep
864361,watchdog: PPG lost contact, firing warning beep
867440,watchdog: PPG lost contact, firing warning beep
870520,watchdog: PPG lost contact, firing warning beep
873601,watchdog: PPG lost contact, firing warning beep
876680,watchdog: PPG lost contact, firing warning beep
879760,watchdog: PPG lost contact, firing warning beep
882843,watchdog: PPG lost contact, firing warning beep
885921,watchdog: PPG lost contact, firing warning beep
889001,watchdog: PPG lost contact, firing warning beep
892080,watchdog: PPG lost contact, firing warning beep
