elapsed_ms,ax,ay,az
48508,105,-1148,1516
48548,112,-1123,1547
48588,93,-1143,1516
48628,96,-1128,1530
48668,117,-1169,1524
48708,79,-1140,1533
48748,94,-1161,1533
48788,106,-1147,1514
48828,74,-1141,1549
48868,79,-1140,1508
48908,94,-1149,1540
48948,128,-1168,1542
48988,57,-1140,1515
49028,61,-1143,1511
49072,81,-1176,1518
49119,71,-1127,1528
49148,94,-1135,1529
49189,97,-1173,1521
49229,92,-1146,1512
49269,87,-1137,1520
49309,97,-1150,1536
49349,99,-1164,1529
49389,77,-1120,1514
49429,93,-1165,1519
49469,92,-1152,1527
49509,96,-1143,1512
49549,98,-1172,1519
49589,92,-1135,1533
49694,91,-1184,1524
49703,97,-1172,1524
49744,76,-1147,1533
49751,94,-1133,1539
49789,84,-1137,1503
49829,78,-1176,1505
49869,87,-1150,1525
49909,88,-1155,1532
49949,91,-1150,1507
49989,92,-1175,1526
50029,111,-1130,1555
50069,94,-1097,1553
50109,88,-1165,1538
50149,109,-1108,1526
50189,124,-1139,1544
50229,104,-1195,1530
