elapsed_ms,ir
52250,57108
52261,57117
52270,57120
52281,57104
52290,57123
52301,57103
52310,57108
52321,57091
52330,57080
52341,57066
52350,57066
52361,57048
52370,57057
52381,57034
52390,57023
52401,57029
52410,57025
52421,57023
52430,56998
52441,56991
52450,56997
52461,56993
52470,56977
52481,56979
52490,56967
52501,56965
52510,56961
52521,56949
52530,56935
52541,56950
52550,56923
52561,56953
52570,56964
52581,56989
52590,56980
52601,57020
52610,57005
52621,57038
52630,57020
52641,57054
52652,57038
52660,57049
52670,57006
52681,57048
52690,57017
52701,57053
52710,57007
52721,57041
52730,57005
52741,57032
52823,56983
52831,56989
52840,56985
52851,56983
52861,56965
52870,56965
52881,56951
52891,56935
52902,56911
52911,56886
52921,56869
52932,56840
52941,56825
52951,56778
52962,56764
52971,56747
52981,56739
52992,56742
53001,56714
53011,56725
53022,56739
53031,56761
53041,56740
53052,56773
53061,56771
53072,56787
53081,56806
53092,56804
53101,56825
53112,56835
53121,56864
53131,56865
53142,56876
53151,56891
53161,56911
53172,56913
53181,56927
53191,56932
53202,56957
53211,56963
53221,56997
53232,56966
53241,57003
53251,57016
53262,57036
53271,57057
53281,57067
53292,57081
53301,57101
53311,57113
53322,57127
53363,57136
53401,57154
53443,57180
53451,57198
53462,57200
53471,57161
53482,57161
53491,57106
53501,57076
53512,57045
53521,56973
53532,56973
53542,56955
53551,56877
53561,56867
53572,56889
53582,56941
53591,56900
53602,56944
53612,56938
53622,56954
53631,56931
53642,56953
53651,56935
53662,57006
53672,56991
53682,57002
53692,57005
53722,57009
53732,56992
53742,56994
53752,56960
53762,56995
53771,56979
53782,56998
53792,57014
53802,57000
53812,57020
53822,57069
53832,57040
53841,57083
53851,57073
53862,57095
53873,57135
53882,57153
53891,57136
53903,57154
53913,57158
53922,57144
53932,57130
53942,57141
53952,57138
53962,57133
53974,57130
53984,57127
53992,57130
54036,57073
54044,57062
54088,56995
54092,57010
54135,56993
54143,56966
54152,56946
54163,56945
54172,56932
54183,56936
54192,56944
54203,56906
54212,56921
54223,56922
54232,56933
54243,56936
54253,56922
54263,56930
54272,56951
54283,56959
54292,56954
54303,56995
54312,56997
54323,57020
54332,57007
54343,57041
54352,57022
54363,57046
54372,57045
54383,57036
54392,57030
54403,57040
54412,57018
54423,57042
54432,57019
54443,57034
54452,57033
