elapsed_ms,ir
47337,192306
47347,192241
47357,192323
47368,192286
47377,192298
47387,192299
47397,192339
47407,192348
47417,192316
47427,192332
47437,192341
47447,192341
47457,192342
47467,192333
47477,192327
47487,192351
47497,192346
47507,192352
47517,192342
47527,192355
47537,192360
47547,192351
47557,192355
47567,192350
47577,192368
47587,192349
47597,192370
47607,192364
47617,192376
47627,192343
47637,192351
47647,192339
47657,192332
47667,192348
47677,192313
47687,192316
47697,192305
47707,192320
47717,192320
47727,192336
47737,192314
47747,192321
47757,192285
47767,192342
47777,192363
47787,192426
47798,192450
47807,192400
47817,192417
47827,192425
47839,192416
47848,192453
47891,192391
47930,192339
47937,192367
47947,192450
47957,192471
47967,192487
47977,192481
47987,192493
47997,192503
48007,192521
48017,192527
48027,192514
48037,192512
48047,192475
48057,192450
48067,192412
48077,192366
48087,192344
48097,192266
48107,192158
48117,192090
48127,192004
48138,192011
48149,191968
48157,191853
48167,191810
48178,191981
48187,191864
48197,191925
48208,192175
48217,192118
48227,192225
48238,192403
48247,192532
48258,192886
48267,193007
48278,193362
48287,193389
48298,193687
48307,193690
48318,193918
48327,193947
48338,194238
48347,194234
48358,194431
48367,194373
48378,194453
48387,194344
48398,194371
48407,194340
48418,194555
48427,194658
48470,191968
48512,193911
48550,193788
48555,192175
48559,193054
48568,192920
48578,192679
48588,192527
48598,192383
48608,192273
48618,192221
48628,192145
48638,192039
48648,191930
48658,191772
48668,191675
48678,191557
48688,191539
48698,191532
48708,191559
48718,191552
48728,191514
48738,191430
48748,191340
48758,191158
48768,191013
48778,190895
48788,190841
48798,190865
48808,190870
48818,190868
48828,190856
48838,190815
48848,190774
48858,190752
48868,190729
48878,190696
48888,190697
48898,190726
48908,190748
48918,190778
48928,190773
48938,190716
48949,190666
48958,190693
48968,190589
48978,190582
48988,190604
48998,190584
49008,190577
49018,190572
49028,190568
49038,190548
49048,190544
49058,190532
49103,190213
49138,190358
49150,190215
49195,189953
49198,190081
49209,190106
49218,190115
49228,190148
49239,190223
49248,190200
49258,190211
49268,190250
49279,190299
49288,190307
49298,190311
49308,190269
49319,190227
49328,190315
49338,190396
49349,190419
49359,190380
49368,190384
49379,190297
49389,190367
49398,190395
49408,190374
49418,190384
49461,190389
49469,190425
49479,190280
49488,190383
49498,190345
49508,190352
49518,190345
49529,190283
49538,190271
49548,190340
49558,190272
49569,190308
49578,190312
49588,190314
49598,190296
49609,190273
49618,190295
49628,190301
49639,190338
49648,190325
49658,190357
49668,190340
49679,190333
49688,190361
49698,190353
49741,190619
49749,190615
49800,191311
49809,191132
49849,191180
49852,191217
49860,191394
49869,191312
49878,191377
49889,191421
49898,191290
49908,191329
49919,191364
49928,191287
49938,191263
49948,191194
49959,191165
49968,191057
49978,190979
49988,190896
49999,191009
50008,190866
50018,190788
50028,190743
50039,190787
50048,190660
50058,190568
50068,190495
50078,190424
50089,190418
50098,190314
50108,190292
50119,190342
50128,190327
50139,190524
50149,190448
50158,190707
50168,190912
50178,191083
50188,191234
50199,191504
50208,191555
50218,191766
50228,192010
50239,192339
50248,192389
50258,192541
50268,192565
50278,192706
50289,192869
50298,192792
50308,192871
50318,193032
50329,193231
50339,193339
50348,193374
50359,193590
50400,193825
50404,190568
50410,194092
50461,193190
50468,192867
50511,192137
50518,191922
50528,191871
50538,191888
50588,191773
50598,191795
50609,191801
50618,191743
50628,191708
50638,191775
50649,191812
50658,191796
50668,191835
50679,191961
50689,192048
50698,192135
50708,192187
50719,192286
50728,192341
50739,192393
50749,192471
50758,192511
50769,192588
50780,192711
50789,192802
50800,192947
50809,193108
