timestamp,label,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
2026-06-29T21:30:44.283791,walk,0,66.7,2115.1,82.5,1.13,2381.0
2026-06-29T21:30:44.682499,walk,0,66.7,2115.5,64.4,1.07,2256.7
2026-06-29T21:30:45.080852,walk,0,66.7,2114.3,55.5,1.04,2206.2
2026-06-29T21:30:45.480715,walk,0,66.7,2113.1,49.3,1.04,2200.6
2026-06-29T21:30:45.878496,walk,0,66.7,2096.7,50.0,1.05,2197.0
2026-06-29T21:30:46.307644,walk,0,66.7,2095.2,65.1,1.06,2216.2
2026-06-29T21:30:46.702268,walk,0,66.7,2102.7,76.0,1.07,2257.2
2026-06-29T21:30:55.293872,walk,0,66.7,2093.1,78.7,1.08,2257.2
2026-06-29T21:30:55.319458,walk,0,66.7,2107.1,105.1,1.23,2601.8
2026-06-29T21:30:55.449550,walk,0,66.7,2087.4,121.6,1.25,2601.8
2026-06-29T21:30:55.450610,walk,0,66.7,2090.9,148.0,1.24,2601.8
2026-06-29T21:30:55.494674,walk,0,66.7,2089.5,169.8,1.25,2601.8
2026-06-29T21:30:55.495838,walk,0,66.7,2082.4,177.4,1.25,2601.8
2026-06-29T21:30:55.497852,walk,0,66.7,2084.5,197.2,1.25,2601.8
2026-06-29T21:30:55.499968,walk,0,66.7,2050.9,193.9,1.24,2551.8
2026-06-29T21:30:55.501575,walk,0,66.7,2064.7,209.7,1.24,2570.5
2026-06-29T21:30:55.503798,walk,0,66.7,2074.0,206.3,1.24,2570.5
2026-06-29T21:30:55.536966,walk,0,66.7,2058.0,209.4,1.25,2570.5
2026-06-29T21:30:55.540637,walk,0,66.7,2050.5,225.4,1.27,2597.4
2026-06-29T21:30:55.581545,walk,0,66.7,2052.3,226.1,1.27,2597.4
2026-06-29T21:30:55.582773,walk,0,66.7,2073.8,228.5,1.25,2597.4
2026-06-29T21:30:55.624968,walk,0,66.7,2061.0,223.6,1.26,2597.4
2026-06-29T21:30:55.625536,walk,0,68.5,2043.7,227.3,1.27,2597.4
