elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
193102,lying,1,0,75.00,2131.2,6.8,1.01,2146.6
193502,lying,1,0,75.00,2130.5,7.0,1.01,2146.6
193903,lying,1,0,75.00,2130.4,7.0,1.01,2146.6
194302,lying,1,0,75.00,2131.8,13.1,1.03,2205.9
194702,lying,1,0,75.00,2131.4,13.5,1.03,2205.9
195102,lying,1,0,75.00,2132.4,13.8,1.03,2205.9
195504,lying,1,0,75.00,2132.9,13.9,1.03,2205.9
195903,lying,1,0,75.00,2132.1,14.2,1.03,2205.9
196302,lying,1,0,75.00,2133.4,14.4,1.03,2205.9
196711,lying,1,0,75.00,2131.7,9.7,1.01,2153.3
197111,lying,1,0,75.00,2131.6,9.1,1.01,2153.3
197512,lying,1,0,75.00,2130.9,8.7,1.01,2148.5
197912,lying,1,0,75.00,2130.6,8.6,1.01,2148.5
198312,lying,1,0,75.00,2130.9,8.2,1.01,2148.5
198712,lying,1,0,75.00,2130.1,7.3,1.01,2146.8
199103,lying,1,0,75.00,2129.8,7.3,1.01,2146.8
199503,lying,1,0,75.00,2130.1,7.4,1.01,2146.8
199905,lying,1,0,75.00,2131.0,7.4,1.01,2146.8
200303,lying,1,0,75.00,2129.6,7.8,1.01,2144.6
200703,lying,1,0,75.00,2132.6,11.6,1.02,2178.9
201104,lying,1,0,75.00,2137.9,21.0,1.04,2216.8
201504,lying,1,0,75.00,2129.9,31.1,1.04,2216.8
201905,lying,1,0,75.00,2129.8,31.4,1.04,2216.8
202304,lying,1,0,75.00,2130.1,32.0,1.04,2216.8
202705,lying,1,0,75.00,2141.2,43.5,1.05,2258.3
203105,lying,1,0,75.00,2153.6,65.6,1.10,2378.1
203505,lying,1,0,75.00,2137.4,73.1,1.11,2378.1
203906,lying,1,0,75.00,2113.3,112.5,1.13,2378.1
204305,lying,1,0,75.00,2096.4,122.7,1.13,2378.1
204706,lying,1,0,75.00,2124.1,146.8,1.13,2390.8
205106,lying,1,0,75.00,2116.7,148.7,1.13,2390.8
205506,lying,1,0,75.00,2103.8,137.0,1.14,2390.8
205906,lying,1,0,75.00,2114.7,135.3,1.13,2390.8
206307,lying,1,0,75.00,2147.1,101.4,1.11,2390.8
206707,lying,1,0,75.00,2163.6,78.5,1.11,2390.8
207107,lying,0,0,75.00,2135.6,43.0,1.09,2337.0
207507,lying,0,0,75.00,2133.8,12.5,1.03,2187.9
207907,lying,0,0,75.00,2131.4,10.7,1.01,2153.7
208309,lying,0,0,75.00,2132.1,11.2,1.01,2158.2
208709,lying,0,0,94.69,2131.6,11.0,1.01,2158.2
209108,lying,0,0,94.69,2133.6,12.9,1.01,2158.8
209508,lying,0,0,94.69,2133.5,13.2,1.01,2163.2
209910,lying,0,0,94.69,2133.7,14.1,1.01,2163.2
210309,lying,0,0,94.69,2134.1,14.1,1.01,2163.2
210709,lying,0,0,94.69,2132.9,16.4,1.01,2163.2
211109,lying,0,0,84.95,2133.8,17.1,1.01,2163.2
211509,lying,0,0,84.95,2132.2,16.0,1.01,2163.2
211910,lying,0,0,77.49,2132.1,16.0,1.01,2161.8
212310,lying,0,0,77.49,2131.6,15.2,1.01,2161.8
212712,lying,0,0,81.03,2132.3,15.6,1.01,2163.3
213110,lying,0,0,81.03,2133.2,12.6,1.01,2163.3
213510,lying,0,0,81.03,2132.4,11.8,1.01,2163.3
