elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
49423,lying,1,0,93.75,1886.9,10.2,1.01,1907.4,1
49824,lying,1,0,93.75,1886.4,9.3,1.01,1904.6,1
50225,lying,1,0,93.75,1885.9,8.5,1.01,1904.6,1
50625,lying,1,0,93.75,1887.2,12.9,1.03,1947.3,1
51015,lying,1,0,93.75,1881.9,41.0,1.06,1988.7,1
51416,lying,1,0,93.75,1884.1,49.3,1.08,2039.8,1
51816,lying,1,0,93.75,1893.1,274.2,1.67,3156.8,1
52217,lying,1,0,93.75,1910.4,289.1,1.65,3156.8,1
52617,lying,1,0,93.75,1975.6,322.1,1.60,3156.8,1
53016,lying,1,0,93.75,1961.8,337.6,1.61,3156.8,1
53517,lying,1,0,93.75,1972.9,343.7,1.60,3156.8,1
53917,lying,1,0,93.75,1997.9,346.1,1.58,3156.8,1
54317,lying,1,0,93.75,2003.7,223.4,1.21,2418.1,1
54718,lying,1,0,93.75,2048.7,454.0,2.43,4988.1,1
55118,lying,1,0,93.75,2036.6,463.0,2.45,4988.1,1
55519,lying,1,0,91.54,2087.4,448.8,2.39,4988.1,1
55919,lying,1,0,91.54,2125.7,437.5,2.35,4988.1,1
56319,lying,1,0,91.54,2108.4,450.1,2.37,4988.1,1
56720,lying,1,0,91.54,2115.9,468.9,2.36,4988.1,1
57120,lying,1,0,91.54,2060.7,264.9,1.42,2930.5,1
57520,lying,1,0,91.54,2014.3,229.5,1.36,2747.4,1
57921,lying,1,0,91.54,1986.9,216.6,1.38,2747.4,1
58321,lying,1,0,91.54,1950.3,197.4,1.41,2747.4,1
58721,lying,1,0,91.54,1950.2,170.2,1.41,2747.4,1
59122,lying,1,0,91.54,1940.8,80.4,1.22,2360.6,1
59522,lying,1,0,91.54,1937.6,60.2,1.08,2086.8,1
59922,lying,1,0,91.54,1945.0,58.5,1.07,2086.8,1
60323,lying,1,0,91.54,1946.0,57.6,1.07,2086.8,1
60754,lying,1,0,91.54,1947.7,58.0,1.07,2086.8,1
61123,lying,1,0,91.54,1951.2,58.7,1.07,2086.8,1
61524,lying,1,0,91.54,1950.5,57.0,1.07,2086.8,1
61924,lying,1,0,91.54,1958.7,23.5,1.03,2010.5,1
62324,lying,1,0,91.54,1957.2,22.9,1.03,2010.5,1
62725,lying,1,0,91.54,1956.4,22.2,1.03,2010.5,1
