elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh
52242,lying,1,0,75.00,1825.6,9.3,1.01,1851.9,1,0
52642,lying,1,0,75.00,1824.0,9.6,1.02,1851.9,1,0
53053,lying,1,0,75.00,1824.4,10.0,1.02,1851.9,1,0
53454,lying,1,0,75.00,1824.8,10.0,1.01,1851.9,1,0
54033,lying,1,0,75.00,1825.5,10.8,1.01,1851.9,1,0
54244,lying,1,0,75.00,1825.0,10.9,1.01,1851.9,1,0
54716,lying,1,0,75.00,1823.2,10.2,1.01,1848.0,1,0
55053,lying,1,0,75.00,1823.9,10.4,1.01,1848.0,1,0
55451,lying,1,0,75.00,1823.1,10.0,1.01,1843.3,1,0
55899,lying,1,0,75.00,1822.8,10.2,1.01,1843.3,1,0
56252,lying,1,0,75.00,1821.9,10.5,1.01,1842.6,1,0
56653,lying,1,0,75.00,1821.9,10.3,1.01,1842.6,1,0
57043,lying,1,0,75.00,1824.2,15.9,1.04,1888.9,1,0
57444,lying,1,0,75.00,1826.4,17.3,1.03,1888.9,1,0
57855,lying,1,0,75.00,1830.9,19.5,1.03,1888.9,1,0
